time_start [s],time_end [s],mean,std,n_voxels
0.0,2.0,0.0,0.0,1404
2.0,4.0,0.0,0.0,1404
4.0,6.0,0.0,0.0,1404
6.0,8.0,0.0,0.0,1404
8.0,10.0,0.0,0.0,1404
10.0,12.0,0.0,0.0,1404
12.0,14.0,0.0,0.0,1404
14.0,16.0,0.0,0.0,1404
16.0,18.0,0.0,0.0,1404
18.0,20.0,5.604728698730469,75.167724609375,1404
20.0,22.0,77.96980285644531,594.55908203125,1404
22.0,24.0,392.6283874511719,1469.343017578125,1404
24.0,26.0,7124.84814453125,8577.1826171875,1404
26.0,28.0,32620.396484375,18301.685546875,1404
28.0,30.0,36210.5,20023.884765625,1404
30.0,32.0,24550.669921875,17666.666015625,1404
32.0,34.0,15087.8408203125,12514.576171875,1404
34.0,36.0,8876.9208984375,9297.615234375,1404
36.0,38.0,5402.76953125,7269.89697265625,1404
38.0,40.0,3611.497802734375,5075.208984375,1404
40.0,45.0,5809.5419921875,4820.32421875,1404
45.0,50.0,6023.03759765625,4354.71923828125,1404
50.0,55.0,4479.6123046875,3727.082763671875,1404
55.0,60.0,3981.456298828125,3866.578369140625,1404
60.0,65.0,3794.658447265625,3789.46142578125,1404
65.0,70.0,3284.354736328125,3113.1806640625,1404
70.0,75.0,3262.65087890625,3340.715087890625,1404
75.0,80.0,3424.169921875,3648.288818359375,1404
80.0,85.0,2878.558837890625,2788.52783203125,1404
85.0,90.0,3388.003173828125,3646.349853515625,1404
90.0,100.0,2993.719482421875,2011.02099609375,1404
100.0,110.0,2740.838134765625,1883.5682373046875,1404
110.0,120.0,2988.62109375,2082.406494140625,1404
120.0,130.0,2843.9208984375,1950.683837890625,1404
130.0,140.0,3079.900634765625,2172.701171875,1404
140.0,150.0,2957.144287109375,2547.281982421875,1404
150.0,160.0,2990.666259765625,2109.32568359375,1404
160.0,170.0,2882.717529296875,2036.53564453125,1404
170.0,180.0,2618.890380859375,1971.2130126953125,1404
180.0,190.0,2571.5751953125,1932.5120849609375,1404
190.0,200.0,2689.970458984375,2006.058837890625,1404
200.0,210.0,2428.550048828125,1733.844970703125,1404
210.0,220.0,2620.582275390625,2108.96923828125,1404
220.0,230.0,2243.443359375,1668.012939453125,1404
230.0,240.0,2215.448974609375,1921.064208984375,1404
240.0,300.0,2414.609130859375,730.8748779296875,1404
300.0,360.0,2179.40087890625,738.5315551757812,1404
360.0,420.0,2105.24169921875,693.400146484375,1404
420.0,480.0,2069.518798828125,727.16455078125,1404
480.0,540.0,1980.25341796875,742.28759765625,1404
540.0,600.0,1825.8778076171875,645.3377685546875,1404
600.0,720.0,1773.1878662109375,457.5184326171875,1404
720.0,840.0,1668.7554931640625,432.8773193359375,1404
840.0,960.0,1557.267822265625,474.99090576171875,1404
960.0,1080.0,1498.4676513671875,442.3592224121094,1404
1080.0,1200.0,1375.9896240234375,386.2351379394531,1404
1200.0,1320.0,1335.1629638671875,385.93048095703125,1404
1320.0,1440.0,1281.072509765625,387.44732666015625,1404
1440.0,1560.0,1222.2093505859375,365.4436340332031,1404
1560.0,1680.0,1172.2403564453125,371.0941162109375,1404
1680.0,1800.0,1168.040283203125,352.70654296875,1404
1800.0,2100.0,1090.9932861328125,229.8211212158203,1404
2100.0,2400.0,1027.9356689453125,232.16943359375,1404
2400.0,2700.0,984.8598022460938,210.20257568359375,1404
2700.0,3000.0,935.7925415039062,209.0069122314453,1404
3000.0,3300.0,831.0634155273438,186.8607635498047,1404
3300.0,3600.0,815.9721069335938,202.97080993652344,1404
3600.0,3900.0,776.2074584960938,184.5269317626953,1404
3900.0,4200.0,743.1754760742188,206.51821899414062,1404
